state,county,income_mean,poverty_pct,college,female_count,Total_pop,White,Black,Asian,age_median
31.0,145.0,60736.0,9.7,12.2,5405.0,10806.0,10398.0,80.0,21.0,41.1
31.0,45.0,60820.0,14.4,20.3,4325.0,8896.0,7938.0,172.0,51.0,34.9
31.0,33.0,71372.0,10.0,20.1,4949.0,9852.0,9404.0,10.0,126.0,41.0
31.0,47.0,68096.0,13.1,10.9,11563.0,23804.0,21056.0,1468.0,80.0,35.9
31.0,167.0,76404.0,8.8,12.1,2990.0,5992.0,5811.0,85.0,28.0,41.2
31.0,19.0,74978.0,14.1,23.2,24437.0,49030.0,45183.0,563.0,696.0,33.3
31.0,141.0,75236.0,8.3,15.6,16203.0,33063.0,31534.0,160.0,254.0,38.5
31.0,169.0,64264.0,8.4,13.8,2553.0,5098.0,4948.0,23.0,0.0,47.0
31.0,13.0,67128.0,11.9,13.8,5617.0,11089.0,10176.0,42.0,33.0,40.7
32.0,1.0,65350.0,12.8,12.2,11872.0,24010.0,20192.0,588.0,663.0,39.5
32.0,5.0,83601.0,9.3,17.9,23726.0,47828.0,42695.0,312.0,686.0,51.5
32.0,27.0,60343.0,15.1,7.8,2325.0,6611.0,5369.0,292.0,92.0,43.4
32.0,13.0,78982.0,11.5,9.8,8125.0,16904.0,14803.0,70.0,84.0,35.6
32.0,33.0,71426.0,10.9,10.6,4033.0,9737.0,8335.0,518.0,111.0,39.2
32.0,7.0,89392.0,11.9,11.4,25053.0,52252.0,45135.0,289.0,593.0,33.9
32.0,17.0,60586.0,6.8,10.8,2501.0,5174.0,4614.0,192.0,62.0,45.2
32.0,23.0,56101.0,16.2,8.4,21462.0,43705.0,36290.0,1053.0,728.0,52.7
32.0,31.0,83026.0,12.2,19.0,223735.0,450486.0,355208.0,10330.0,23612.0,38.1
32.0,3.0,76812.0,14.1,15.8,1071795.0,2141574.0,1299138.0,245827.0,205824.0,37.1
32.0,510.0,70878.0,13.7,14.2,26555.0,54467.0,43725.0,954.0,1471.0,42.8
32.0,19.0,67315.0,11.6,9.7,26398.0,53155.0,45271.0,537.0,593.0,44.1
33.0,5.0,83055.0,9.9,19.5,39042.0,76263.0,72655.0,587.0,1054.0,42.7
33.0,13.0,91422.0,7.2,20.6,75914.0,149452.0,140759.0,1957.0,3103.0,42.8
33.0,9.0,89343.0,9.9,20.3,45650.0,89811.0,83035.0,1116.0,3336.0,42.9
33.0,15.0,113485.0,4.7,25.5,153928.0,305129.0,289348.0,2295.0,5971.0,44.3
33.0,1.0,85080.0,8.7,19.8,30904.0,60640.0,58506.0,415.0,484.0,47.1
33.0,19.0,74376.0,10.8,17.0,21714.0,43125.0,41564.0,359.0,329.0,46.1
33.0,11.0,99653.0,8.1,23.8,206794.0,411087.0,368550.0,11530.0,16744.0,40.5
33.0,17.0,87839.0,10.0,22.1,65534.0,128237.0,119002.0,1111.0,4556.0,36.9
33.0,7.0,61490.0,12.8,12.2,15164.0,32038.0,30086.0,920.0,199.0,48.1
33.0,3.0,80066.0,9.6,21.0,23995.0,47840.0,46509.0,226.0,348.0,51.7
34.0,25.0,128657.0,7.4,27.1,320233.0,623387.0,513711.0,43959.0,33772.0,43.2
34.0,37.0,111583.0,5.1,23.6,71568.0,142298.0,132221.0,3262.0,2943.0,44.5
34.0,11.0,68178.0,17.6,10.1,74713.0,153400.0,103099.0,29573.0,2182.0,37.2
34.0,13.0,99512.0,16.4,20.8,411979.0,793555.0,334450.0,316192.0,41500.0,37.5
34.0,29.0,90114.0,10.7,19.4,306568.0,591939.0,539689.0,18185.0,11407.0,42.9
34.0,15.0,102325.0,7.4,21.0,149623.0,290852.0,237686.0,29956.0,8949.0,40.3
34.0,33.0,83122.0,13.0,14.3,32354.0,63336.0,51120.0,8353.0,666.0,42.0
34.0,31.0,89683.0,16.7,18.8,258578.0,504041.0,313306.0,57437.0,26351.0,37.0
34.0,7.0,89592.0,12.6,20.0,262299.0,507367.0,320830.0,97896.0,29045.0,38.7
34.0,3.0,130990.0,7.0,30.1,479215.0,929999.0,663672.0,55497.0,150137.0,41.8
34.0,41.0,97105.0,7.8,21.0,54357.0,106293.0,94352.0,4707.0,2849.0,44.0
34.0,17.0,97596.0,16.3,25.6,336363.0,668631.0,368360.0,83215.0,100564.0,35.1
34.0,5.0,109492.0,6.5,24.1,226833.0,446367.0,322158.0,74431.0,21620.0,41.5
34.0,27.0,150364.0,4.6,30.9,251899.0,494383.0,403998.0,16605.0,50403.0,42.6
35.0,39.0,-888888888.0,-888888888.0,12.5,20057.0,39307.0,21382.0,237.0,188.0,40.6
35.0,47.0,46029.0,27.7,12.7,13926.0,28034.0,15503.0,376.0,375.0,43.2
35.0,57.0,50556.0,25.8,9.4,7237.0,15595.0,14278.0,273.0,57.0,43.6
35.0,35.0,56412.0,21.2,11.2,31859.0,65745.0,51539.0,2358.0,941.0,35.6
35.0,6.0,49792.0,26.5,8.6,13330.0,26978.0,12624.0,305.0,93.0,36.8
35.0,17.0,56094.0,21.8,16.2,14192.0,28061.0,26268.0,197.0,79.0,45.8
35.0,29.0,40988.0,30.2,7.8,12244.0,24264.0,22208.0,336.0,168.0,37.8
35.0,31.0,48620.0,36.0,6.3,37691.0,72849.0,10948.0,488.0,746.0,32.0
35.0,55.0,53538.0,19.4,16.1,16812.0,32888.0,28029.0,152.0,77.0,48.2
35.0,7.0,47612.0,23.8,12.3,6044.0,12353.0,10673.0,67.0,42.0,49.0
35.0,15.0,76170.0,15.3,10.0,28448.0,57437.0,52273.0,891.0,225.0,35.3
35.0,37.0,42970.0,22.1,8.5,4492.0,8373.0,7551.0,128.0,90.0,43.8
35.0,27.0,62219.0,16.2,20.4,10254.0,19482.0,18236.0,179.0,91.0,51.0
35.0,25.0,73825.0,16.6,8.0,33989.0,70126.0,62145.0,2707.0,155.0,31.7
35.0,49.0,85113.0,12.8,20.3,76573.0,148917.0,124370.0,1496.0,1885.0,45.8
35.0,51.0,51396.0,24.9,13.0,5619.0,11135.0,10005.0,65.0,70.0,56.0
35.0,53.0,50030.0,29.1,11.4,8201.0,17000.0,13312.0,63.0,507.0,39.2
35.0,13.0,57536.0,27.7,16.5,109564.0,215338.0,189377.0,4087.0,2276.0,32.9
36.0,95.0,68583.0,13.2,12.9,15744.0,31364.0,30007.0,541.0,280.0,45.1
36.0,67.0,79427.0,14.6,19.8,240247.0,464242.0,370976.0,52888.0,17130.0,39.0
36.0,19.0,68108.0,15.3,11.6,39295.0,80794.0,73391.0,3475.0,1183.0,39.3
36.0,99.0,69516.0,12.4,12.0,16516.0,34612.0,31669.0,1707.0,242.0,42.2
36.0,79.0,127975.0,5.3,22.8,49774.0,99070.0,86904.0,2881.0,2019.0,44.1
36.0,33.0,65355.0,18.2,9.4,22876.0,50692.0,41778.0,2965.0,255.0,40.6
