CAGDP9 Real GDP by county and metropolitan area 1/,,,,,,,,,,,,,
(thousands of chained 2012 dollars) ,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,
Metropolitan Statistical Area,,,,,,,,,,,,,
GeoFips,GeoName,LineCode,Description,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",64,      Management of companies and enterprises,(D),(D),(D),(D),(D),(D),(D),(D),(D),1911815
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",65,      Administrative and support and waste management and remediation services,2001756,2104185,2222238,2369942,2493055,2527631,2639273,2810024,2841608,2963466
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",68,"    Educational services, health care, and social assistance",4118571,4269951,4351545,4565392,4527607,4741550,5051074,5160846,5335848,5570452
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",69,      Educational services,676531,715179,718484,746136,733247,775623,840356,848808,902609,1019638
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",70,      Health care and social assistance,3441806,3554856,3633061,3819337,3794649,3965871,4209875,4311808,4431088,4542030
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",75,"    Arts, entertainment, recreation, accommodation, and food services",1737394,1786705,1843918,1869391,1918646,2014448,2112991,2299013,2439503,2515208
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",76,"      Arts, entertainment, and recreation",429337,424494,448062,457311,460079,477723,547130,621297,657706,674716
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",79,      Accommodation and food services,1307848,1362300,1395855,1412101,1458434,1536460,1567036,1680054,1784195,1842744
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",82,    Other services (except government and government enterprises),1583933,1592036,(D),1719977,1801681,1822919,(D),1876788,1928627,1971316
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",83,Government and government enterprises,8123482,8297772,8130409,8042505,8209403,8289899,8646073,8951673,9150099,9344083
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",,Addenda:,,,,,,,,,,
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",87,Natural resources and mining,1439510,1475673,1275521,1210994,1320566,988264,(D),954594,1045320,1101126
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",88,Trade,(D),(D),9707729,(D),9758196,10041710,10800166,11246684,11441197,11574384
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",89,Transportation and utilities,(D),(D),3170499,(D),3248933,3576931,3786714,3963377,4197897,4388237
41620,"Salt Lake City, UT (Metropolitan Statistical Area)",90,Manufacturing and information,11450384,11769232,(D),10793587,11026295,11769200,(D),12760300,13387261,14215744
